wavelength,black_01,white_01,orange_01,blue_01,black_02,white_02,orange_02,blue_02,black_03,white_03,orange_03,blue_03,black_04,white_04,orange_04,blue_04
602,0.062482141,0.74485904,0.351967305,0.177082717,0.059526552,0.90025419,0.307879627,0.193934038,0.08778888,0.933732033,0.294112116,0.217955232,0.084103733,0.84553051,0.265399158,0.169873431
606,0.062870011,0.746041477,0.355663002,0.175516725,0.059748948,0.888227701,0.305771649,0.188552007,0.086408675,0.918660045,0.291083097,0.211085811,0.08352752,0.836120427,0.262647867,0.164759085
610,0.063995145,0.745552421,0.35896638,0.174107775,0.060386378,0.875606596,0.302830309,0.182949737,0.086468212,0.903266549,0.28847608,0.205043778,0.08364851,0.824202955,0.259603411,0.1597884
614,0.06454391,0.750346839,0.36277914,0.173667386,0.061544202,0.888602912,0.306355119,0.182923973,0.08816313,0.916442394,0.290425003,0.203613803,0.085929468,0.839491308,0.261596978,0.158680126
618,0.065245189,0.754788935,0.366257757,0.173189625,0.063331738,0.907247066,0.311982393,0.184390426,0.090286717,0.934636772,0.294060737,0.203497916,0.088511728,0.859376132,0.264996916,0.158485949
622,0.066537604,0.760073602,0.370502114,0.173997045,0.065707445,0.916939855,0.315714955,0.185126588,0.092414841,0.944835186,0.296389073,0.201918453,0.090201974,0.870023072,0.266109139,0.157374606
626,0.068447359,0.763100922,0.375111669,0.175731689,0.068897188,0.928544521,0.321187794,0.186943054,0.095479086,0.957589567,0.301128864,0.2018013,0.092515804,0.877710283,0.268468529,0.157294497
630,0.069788486,0.768225551,0.379848093,0.177161261,0.071931973,0.953336,0.330988497,0.191092432,0.099150881,0.984720588,0.309473127,0.203584492,0.09603066,0.90009588,0.274515837,0.159329861
634,0.070789628,0.771059036,0.383653849,0.177311286,0.072891586,0.952740848,0.331647009,0.188082069,0.10118486,0.988333702,0.312301457,0.200696141,0.098240338,0.902549088,0.275768906,0.158448622
638,0.071849376,0.773695469,0.387465954,0.177386865,0.071431659,0.924269378,0.322189271,0.17908287,0.100344181,0.963948369,0.306250513,0.192085624,0.097677991,0.879769027,0.269353062,0.153224245
642,0.073211469,0.77496016,0.39335236,0.178896099,0.071669206,0.913293719,0.320085049,0.174954012,0.101410568,0.955561161,0.306509078,0.188507795,0.098644234,0.871248186,0.268082947,0.150070459
646,0.074247465,0.779448748,0.399779469,0.180401906,0.072704382,0.919717789,0.323668629,0.174161986,0.102967873,0.960570335,0.309258252,0.186386704,0.100538701,0.877270341,0.26975289,0.148329422
650,0.075471878,0.786483169,0.406234562,0.182565808,0.073762581,0.924141645,0.326774418,0.173143551,0.104566596,0.962430358,0.310328156,0.184000701,0.102218673,0.881605327,0.270902306,0.146529943
654,0.07714086,0.788917184,0.411881834,0.185730964,0.074852429,0.913276553,0.327453345,0.170791969,0.106318548,0.951996744,0.309559256,0.181372792,0.103617772,0.874475896,0.271479517,0.144668192
658,0.078796804,0.79139173,0.417503208,0.189006865,0.076418273,0.910676777,0.331131339,0.170064375,0.109038278,0.951030612,0.311862618,0.180555612,0.106020741,0.8751176,0.274488002,0.144126236
662,0.081798516,0.793919742,0.423954576,0.192270473,0.077526212,0.900335193,0.331817031,0.168998182,0.111548312,0.943749785,0.313058347,0.178327546,0.107965142,0.868365407,0.274504691,0.143033564
666,0.085565403,0.791336417,0.431368709,0.196359858,0.078484349,0.880673707,0.331119865,0.167879865,0.114066444,0.928950548,0.314298302,0.176096901,0.109587722,0.850287616,0.273596376,0.141895697
670,0.089344613,0.78774631,0.438546956,0.20038946,0.080070071,0.869812846,0.333611012,0.168269187,0.117760345,0.923479557,0.319713384,0.176978782,0.112463199,0.840825677,0.275859982,0.142794952
674,0.091942102,0.779586554,0.442026317,0.20502913,0.083979957,0.872015417,0.344732165,0.174007207,0.123614691,0.925061703,0.3334378,0.185403064,0.118038036,0.845304191,0.289748043,0.150507152
678,0.094581522,0.773256004,0.444797903,0.209238276,0.089096889,0.887353718,0.360649198,0.182055786,0.130744383,0.935493946,0.350292861,0.195559993,0.12536183,0.861597061,0.306254834,0.159558788
682,0.096837029,0.773388684,0.449557155,0.212711141,0.092086576,0.904107034,0.375400245,0.191898614,0.135153264,0.94815892,0.363962233,0.207092553,0.130890355,0.878200352,0.319693089,0.16941686
686,0.098318852,0.775164008,0.45527491,0.215618253,0.092665933,0.914647758,0.386234641,0.202392638,0.13667801,0.957151353,0.375137776,0.218996987,0.132336244,0.884833634,0.330121279,0.179297686
690,0.100249097,0.77719748,0.46148935,0.219419748,0.094423361,0.922442555,0.39619559,0.213024527,0.138436273,0.962708592,0.385558039,0.231673092,0.133276165,0.887893498,0.339610279,0.190580711
694,0.103623405,0.778669834,0.466932088,0.225976259,0.101091921,0.927994728,0.409089088,0.230233595,0.143042788,0.966717482,0.395746469,0.247006312,0.138637871,0.892175138,0.349703789,0.20886685
698,0.107225716,0.780442476,0.47257942,0.232667118,0.107262425,0.924822569,0.418484807,0.245872736,0.146363854,0.961774945,0.402528226,0.260486811,0.14297159,0.889992416,0.357305914,0.225979298
702,0.109856285,0.779901743,0.478632122,0.239297792,0.10908094,0.92331022,0.429182112,0.262028843,0.148471862,0.959427774,0.412102193,0.27619189,0.145425588,0.88953352,0.366981417,0.242714256
706,0.112179518,0.779522002,0.485592484,0.24615173,0.113116853,0.941482961,0.449393392,0.284268558,0.152554765,0.974438608,0.42888698,0.29708007,0.148924381,0.903901041,0.383097321,0.263135105
710,0.114826761,0.779670298,0.493038327,0.253342003,0.123958379,0.982170701,0.481971711,0.315496922,0.162594303,1.018314362,0.459151357,0.328010619,0.156736925,0.943601608,0.410740763,0.292186797
